,reviews,ratings,dine_in_time
803,"Service never disappoints.  Arrived about 30 minutes early.  Waited a few minutes, and then was seated, which was appreciated.  Table rolls are ridiculously good.  Salad bar area is fine, but meats brought to the table are where it’s at.  Everything was terrific, with the exception of the lamb, which was a little tough.  House specialty sirloin continues to be terrific.  All of the chicken varieties were equally as good.  It is expensive, but worth the splurge every so often.",4," April 7, 2018"
804,Food selection and quality was excellent as always. If you like quality meats and a lot of it this should be the definitive spot for you.,5," April 7, 2018"
805,29th wedding anniversary,5," April 6, 2018"
806,Steak was tough and hard to eat,1," April 6, 2018"
807,Very fun and good,5," April 5, 2018"
808,Amazing experience! superb service and food,5," April 5, 2018"
809,Overall this place was ok.  But over priced for what you get and the quality of the food.<br/>It wasn’t 1 Star. But definitely will not return.,3," April 3, 2018"
810,Excellent food and experience. Probably overpriced by about 25% but worth experiencing at least once.,4," April 2, 2018"
811,"We were rushed from the moment we arrived (server asking us about drinks before we took our coats off and sat down). Then after salad course we had to get our own plates for the meat round. The first few passes of meat were all on the well done (and tough) side  and no server asked us how we wanted our meat prepared. The later rounds were much better.<br/><br/>But as I stopped eating (red tag) and my husband continued (green tag) servers were at our table almost every few minutes asking us what cuts of meat we were ""waiting"" for. It was very intrusive (and clear we were being pushed out!) Not to mention we asked for some cuts as many as 3 times and they never arrived.<br/><br/>I've eaten at the Fogo in Indianapolis several times and never experienced anything like this. This was my third time at the Boston location and it may be my last. The price point for this restaurant is too high (used to feel like fine dining) to have a rushed dinner. Which is unfortunate because the concept is good and the food is usually very good.",2," April 1, 2018"
812,Great option for Brazilian barbecue!!!,5," April 1, 2018"
813,Easter brunch—it was perfect in every way. Service and food were both excellent!! We love it there!!,5," April 1, 2018"
814,"If you like MEAT, this is the place! <br/><br/>Tons of meat from ribeye to sirloin to lamb chops just keep comin’ at ya, plus a salad bar with a great variety of veggies and fruits. <br/><br/>Will definitely come back here for a good cheat day :)",5," April 1, 2018"
815,"We had a lovely time celebrating our anniversary at Fogo de Chao. The staff was welcoming, warm and friendly- and for our dessert they were so sweet to pay attention to the reservation notes and wrote a beautiful “happy anniversary” on our plate! Love!!!! Thank you!!!",5," March 31, 2018"
816,We always enjoy our dinners at Fogo.  The staff are just wonderful and are happy to see us.  The food was top quality as usual.  We will be back.,5," March 31, 2018"
817,"Was pretty disappointed by the food. No variety of flavor. Everything was salty, I wish there was some more flavor. Also a lot of the meat were dry. Ironically, the best meat they had was the chicken wrapped in bacon. I came in hyped up, and left disappointed.. Won't be coming back :(",2," March 30, 2018"
818,The food was really good.,5," March 30, 2018"
819,Great fresh food,5," March 29, 2018"
820,"We like Fogo de Chao a lot. The restaurant week menu fit our budget. We really enjoyed the buffet which wasn’t simply a salad bar, but included everything from cheese to fruits and vegetables. And the charcuterie of meats was excellent!",5," March 29, 2018"
821,Delicious food. Amazing all you can eat salad bar. Excellent service. The pao de quejio alone is worth the trip,5," March 29, 2018"
822,"Meat lovers will enjoy. Lot of meat,  though some meats for me were a bit chewy, too burnt  and with fat- (Garlic steak). <br/>Would like to see some more meat options with chicken and lamb.",4," March 28, 2018"
823,"Went for Restaurant Week expecting the worst, but I was pleasantly surprised. Though the top meats were not included in the menu, my friend and I wondered how could we ever fit them in with all of the choices we already had. The staff was very friendly, the food bountiful and very good--especially the black beans!",4," March 28, 2018"
824,Great dinner night with friends.,5," March 27, 2018"
825,Overall this meal was a great meal and experience.,5," March 26, 2018"
826,"Good meal. It's always difficult to limit intake when practicing all you can eat, but that's not the restaurant's fault.",4," March 25, 2018"
827,Wait staff was very attentive.  Food was good.  We came for Dine Out Boston Week so the price per person was very reasonable.  Would definitely come back (for Dine Out Boston week),4," March 25, 2018"
828,"Restaurant week menu for dinner was only $38 compared to the usual $40/$55. However, the menu was limited, but we only prepared a few cuts of meat there over the others anyway so that did not bother us at all. Their salad bar and side dishes are always really good. Drinks are a bit pricey but pretty good. What was disappointed was the desserts. I get that it was a part of the restaurant week menu so it was smaller. But we got really thin slices of cheesecake and chocolate mousse cake on a tiny plate with nothing else but a fork.",4," March 25, 2018"
829,Excellent food offerings. A bit crowded and noisy.,5," March 25, 2018"
830,"The food was great, the salad bar and the meat were fantastic as usual.  Being a Sunday brunch, there were a few more items on the menu.   Great experience and great value considering all the food, and service, you get.",4," March 25, 2018"
831,"We have been to Fogo on several occasions and to be honest, the last time we were there it was not that great. We decided to give it another chance and we’re not disappointed. Our waiter Rodrigo was outstanding and pleasant, the food was hot, delicious and cooked perfectly and we didn’t feel rushed. Great meal!",5," March 25, 2018"
832,My husband and I dined for my birthday... food was excellent as usual and staff were so friendly and accommodating.  Gaucho's preparation and presentation was on point.  This consistency and delishousness keeps us coming back.  Thank you Fogo de Chao!,5," March 24, 2018"
833,The food was delicious.  My party of 9 enjoyed the meat selection and the buffet.  We loved turning our card for more!!,4," March 24, 2018"
834,We loved this place! The service was fantastic and the food was amazing! Can't wait to go back!,5," March 23, 2018"
835,Food was very good. The dining concept is a lot of fun. The servers seemed a little distracted by a few large parties that were around us so things took a bit longer in that aspect. Other than that we had a good meal! The caramelized banana side dish was delicious!,4," March 22, 2018"
836,"If you're willing to spend, then Fogo will always satisfy.  Come for the food, stay because you enjoyed the food so much that you can't move!",5," March 20, 2018"
837,"food was awesome comes fast and hot.  the side dishes just kept coming which was great.  how ever the only complain I have is the service. we asked for water multiple times and in the end we got a bottle of water that was charged on out bill. when my guest and I went back up to the salad bar for a second round, no one came to pick up the old dish until we went for our 3rd round. I guess they were short staff but didn't seem to be too busy. service needs some work for sure however like I said food was great.",3," March 18, 2018"
838,"My husband and I went last Sunday, 3/18/18, to celebrate our 1st year wedding anniversary, and we enjoyed very much the food and the ambiance. The server was very nice. <br/><br/>I did’t give a 5 to the service and overall experience, because I wished they would have done something to  acknowledge this special occasion for us. Also, we had an inconvenience paying with a gift card, but at the end the manager was extremely helpful!",4," March 18, 2018"
839,Great food and service,5," March 17, 2018"
840,"Everything remains great at this restaurant.  The food was even better than usual, which is hard to do since so good to begin with.  Enjoyable and fun for a change from the usual restaurants.  Steak was perfect as were the ribs.  While the food is good the service was great as were Ana and Jonathon who are the best managers around!  They are lucky to have them.",4," March 17, 2018"
841,My husband and I wanted to celebrate our 11 year anniversary and we chose to have our Dinner at Fogo de Chao! We loved it!!! Such good food and great service! Worth the money we spent!!,5," March 17, 2018"
842,"I have gone to this restaurant many times for different occasions, and every time the experience is great. Make sure that you order a Brazilian drink caipirinha and leave some room for one of the best deserts ever. Crema de papaya with casis licour.  Great experience overall. The whole team does a fantastic job making you feel welcome.",5," March 16, 2018"
843,"Fantastic experience, great location in Copley, was seated right on time. My girlfriend has a dairy allergy and the manager Anna gave us a personal tour of the salad bar and walked us through the options and offered to bring out anything from the kitchen to avoid cross contamination.<br/><br/>The drink cart gentleman, Paulo, walked us through all of our options, when in the meal to have each drink and what region they’re from.<br/><br/>Food was fantastic and Anna offered to bring out some off menu items for us to try.<br/><br/>Everything was great, I’ll be back.",5," March 16, 2018"
844,"It was a great experience to go to Fogo de Chão. The food was great, the service was awesome. As soon as we got there they attended right to us and they sat us at a table that had a view of outside. It was my girlfriends birthday, so for desert they came out and sang happy birthday to her. It was lovely!!! I will definitely go again",4," March 15, 2018"
845,"The quality of the food is good. I like the sides, especially the roasted banana. Though I can see the meat is really good, but I don't a fan of it cooking style. It seems to be too dry for me. It a good try but I don't think I will come again.",4," March 11, 2018"
846,Excellent value!!!,5," March 5, 2018"
847,"I was disappointed. There were only 3 or 4 beef entrees.<br/>There were, however,  3 chicken entrees,  1 saugage entree , 1 pork entree as well as 2 lamb offferings.<br/>This was not what I have experienced in the past, nor was it what I was expecting.",3," March 4, 2018"
848,My vegan friend and I were at a conference. She indulged me by going to a steak house and I went to a vegetarian restaurant with her the next day. We both appreciated the staff who were friendly and helpful. One lady went around yhe market table with my friend telling her everything vegan she could eat. Thanks for a lovely night.,5," March 2, 2018"
849,"Wonderful food skillfully prepared. Curried vegetable and salad bar with great variety. Staff is friendly, informative while being very professional.",5," February 27, 2018"
850,"This was our first time here. Convenient because connected right to the hotel.  Seated fast and guided to an amazing salad bar with fruits, salads, meats and cheeses.  Then amazing cheese bread at the table.  The selection of meats brought to the table were unbelievable.. 16 different varieties from lamb, to chicken ,roast, filet etc.. all cooked to your liking. Also, side dishes of mashed potatoes, fries and fried bananas were brought out.   So much food for the money.  Service was also great.  Will definitely be back",5," February 24, 2018"
851,"My son's 18th bday--- great way to celebrate! Excellent food; however In years past the food bar was more varied with multiple tiers of different foods, incl seafood.  That was not the case on our visit. The food bar was obviously downsized. Also, attire has become more casual dining unlike my previous experiences where it was not as crowded (more dining tables now to accommodate more people). Prior dining was more elegant and quieter. Our waiter was wonderful  and was very attentive throughout our dinner.",4," February 24, 2018"
852,Wanted to experience and celebrate my fiancé’s birthday here . It was a nice place and a different setting for us .,2," February 24, 2018"
853,"Brazilian Steakhouse is one of my favorite styles of Restaurants. They do a fantastic job at Fogo de Chao. I gave a few less stars because if you don't come ready to eat it's a bit pricey, but if you are hungry, you can easily make it worth your buck. <br/>The staff was fantastic, it wasn't just the servers with the meat that were making rounds, there was a couple of people in our section wandering between table checking on us.<br/>The salad bar is also fantastic, a vegetarian could enjoy this place just as much as a carnivore.",5," February 23, 2018"
854,"Everything was good, except that one of my friends ordered a glass of wine and the waitress kept coming as soon as her glass was empty and refilling her wine glass with the same wine without asking first as if it was a free refill! Four of us either were in deep conversation or out at the market table, so we  didn't even realize that, so she ended up having a few glasses of wine at the end of dinner and that cost her a fortune!",3," February 22, 2018"
855,"Food and service were great! Meet quality was fantastic, in particular the lamb and thr picanha. Only downside is the cost.",4," February 22, 2018"
856,Love beef rib❤️,4," February 22, 2018"
857,Even when asked for medium. Meat was rare.  Not very good quality meats. Salad bar was good.,2," February 21, 2018"
858,Just love to eat here.  The service is always great and today it was fantastic.,5," February 20, 2018"
859,"Great dining experience! I took my family who was visiting from another country and they were very impressed by the the overall experience with the salad bar, the meat service and the overall service we received.",5," February 19, 2018"
860,"One suggestion. When you are recognized by Wine Spectator, it is important to advertise the correct vintage of wine you are selling on your wine list. When you advertise a 2010 Barolo, you shouldn't bring out a 2011 and act as if it is the same thing.",4," February 18, 2018"
861,Coffee was served cold.,4," February 18, 2018"
862,"Great food , great service. you not leave hungry..",5," February 18, 2018"
863,"Fun place to eat with some really great food, and lots of it.  And very good service.  The ""food bar"" (it understates things to call it a salad bar) has a huge variety of salads, vegetables, sides, fruits, and starches.  That's the ""first course"", although you can go back as many times as you want.  Some of the dishes are really excellent and the variety is huge.  My wife felt she could have made a meal from this alone.  Then the waiters come around with the meats.  Each waiter has one or two, and there were maybe a dozen available.  Say yes if you want one, no if you don't, and they carve off a bit for you.  I had probably five, some good, some very good.  Again, variety and quantity were exceptional.  A few things might bother some people, but were minor to me.  It's a bit loud and the tables are close together.  Not every dish or meat is fantastic, so you tend to pick what you like and get more of it.  There was a mixup with our check and so we had a delay getting out.  The staff was all very friendly and except for the check things went smoothly.  A great place to eat and have an unusual experience.  Don't eat lunch before it!",5," February 17, 2018"
864,Get together with friends from out of town!,4," February 17, 2018"
865,"""Our little Neighborhood""  drag racing friends from New England Dragway enjoyed another great meal Saturday Night.  The meats are beyond expectations, huge salad bar,  authentic<br/>Brazilain themed drinks and an excellent wait staff.  All in all a fully enjoyable night with great friends,  Thanks !!",5," February 17, 2018"
866,Great service and food! I love celebrating my birthday here.,5," February 17, 2018"
867,"Fantastic food, fantastic service, fantastic place!",5," February 17, 2018"
868,"The service is impeccable. I’ve been to the Beverly Hills, CA location and the service here in Boston is three times better. The entire staff from the hostess to the waiters to the servers make you feel like you are the only table in the restaurant. I can say this of both times that I’ve dined here on very booked nights. <br/><br/>And the food of course is delicious! Make sure to try and save some room for the mashed potatoes and cheese bread.",5," February 16, 2018"
869,"Absolutely amazing. Love it there. I was a little disappointed that there was no warm pasta as there have been in the past, but the rest of the food does make it for it. The potato salad at the salad bar was delicious. They had really fresh tomatoes; the plantains (the sides) were wonderful, and the bread is to die for. I didn’t have a problem when I asked for my meat to be well done (sometimes they only have medium or rare). The drinks were great. Waiters were always walking around, so we never had to wait long if we needed something. I love this place. Will return.",5," February 16, 2018"
870,Thanks for the amazing food,5," February 15, 2018"
871,Everything was Great!,5," February 15, 2018"
872,"Best restaurant ever, great service and even better food. Great value, only problem is that it’s an hour drive from my house.....",5," February 15, 2018"
873,"Delicious food , Worth your money, customer service is excellent!",5," February 14, 2018"
874,Had a great time with my date! 12/10 would recommend,5," February 14, 2018"
875,It s a nice place but the table server kinda slow.,4," February 14, 2018"
876,"It was honestly the best experience I’ve ever had at a restaurant, I’m so pleased with everything and the service was incredible. Will come again!!!!!!!!!!! 😁😁😁😁😁",5," February 14, 2018"
877,"This is our favorite “ go to spot” in Boston.   The food is excellent but the service is absolutely perfect.  The staff and management are friendly, they make us feel very special each time we go.  We’ve been going for years now and it just keeps getting better.",5," February 14, 2018"
878,My third time here..love this place,4," February 14, 2018"
879,Always a wonderful time here!,5," February 13, 2018"
880,Went with my boyfriend for dinner to celebrate his birthday. Service and food were excellent. They even brought him a special dessert because I was able to tell them it was his birthday through open table.,5," February 13, 2018"
881,"If u like Brazilian this is the place. The cuts of meat are excellent. The salad bar has the best assortment of vegetables, meats cheeses and salads that we have found anywhere. The service is impeccable. You definitely get what u pay for.",5," February 13, 2018"
882,"Great selection of wine, specialty drinks, desserts, plus the meat selection is top notch!",5," February 11, 2018"
883,Service was slow and they didnt get the message that it was my gfs bday.,2," February 11, 2018"
884,Phenomenal in every way,5," February 11, 2018"
885,"We had a great time at Fogo de Chao as a family celebration of our anniversary. While it's more expensive than many other Churrascuria restaurants, the quality of the food was also higher. The service was very attentive and the various staff serving the meat were more than helpful.",5," February 10, 2018"
886,Excellent service! And always delicious food,5," February 5, 2018"
887,"Steak is too dry, no matter what kind of steak on that day. Service and ambience are perfect, especially service. I made a reservation with note that there’s someone in our group having her birthday. She was served with a free papaya pudding, which is really refreshing after having a lot of meats, and that saved them from getting a 3 star. I gave them 4 stars actually because of this. However I still have to rate 3 star on food due to the dry steak.",4," February 4, 2018"
888,"The service is outstanding at Fogo de Chao, I cant say that enough. The manager and multiple waiters/waitresses are there to cater to you, and make you feel very special (especially since it was a date night!)... The meats were extremely tasty, and the self-service buffet was good too, I just wasnt expecting the buffet part, it threw me off guard... Great experience for a date, a dinner with your buddies, or with someone you want to impress.",5," February 3, 2018"
889,"As usual, a wonderful evening. Thank you for excellent service and food!",5," February 3, 2018"
890,Amazing meat .. recommend the Rib eye - don’t miss that. Drinks are fantastic .. try their special Old Fashion .. mmm ..,4," February 3, 2018"
891,This was a great place for a Birthday. The staff was very accommodating. If you wanted a special meat they were more than happy to get it for you.  The appetizer table was great and hard to resist.  My son loved his birthday cake.  Thank you for a wonderful night.,5," February 3, 2018"
892,"The place was very cold, so we wore our coats.  Food was good as well as friendly servers.  Fairly loud but didn't actually bother us.",3," January 29, 2018"
893,"I've been to dozens of ""rodizio"" brazilian BBQ places, but in the two occasions I visited Fogo de Chão in Boston I left with the feeling that I didn't get my money's worth. Although I specifically stated I liked my beef ""very rare"" I kept rejecting meat that was medium-done at best. And only at the very end of my meal when I felt pretty stuffed I started getting the premium cuts like filet mignon.<br/><br/>Overall, next time I want good beef I will just stick to Ruth's Chris Steak House, by far my favorite place.",2," January 28, 2018"
894,Continues to be the best Brazilian Steakhouse in Mass.  Continually good food and service and a fun night out.  Ana and Jonathan are fantastic managers and the restaurant is luck to have them.  They make us feel like we are with family every time we come back!  If you've never been here then try it as a real fun time out.,4," January 27, 2018"
895,Good steak and service. I will come back again.,4," January 27, 2018"
896,"This was my first experience with a Brazilian BBQ, and I was blown away by the staff and overall experience! I’m looking forward to my next visit to this establishment!",5," January 26, 2018"
897,"Our dinner dining experience was excellent. We were impressed with the ambience, food and service. We will definitely go back again!",5," January 24, 2018"
898,Paolo attended to us and he was outstanding. Loved everything about our night.,5," January 24, 2018"
899,"We went here for my husband's birthday and everything was great! The food was delicious and there were so many barbecue options going around, my plate got filled quick! The service staff was very friendly and energetic as well; overall we had a fantastic time here.",5," January 20, 2018"
900,Amazing time,4," January 20, 2018"
901,"This is not my first time in the Fogo chain, but it has been a while, and the Boston location has not tarnished my fond memories. Excellent service, great meat and a very exciting Market Table. Do not miss the Strawberry Hibiscus cachasa(sp?) cocktail.<br/><br/>One small complaint - they do not have grilled chicken hearts (my favorite in churascaria experience!)",4," January 20, 2018"
902,"To start off -- I'm a vegetarian, and I was still very happy with this meal! The market table has a ton of delicious fruits, salads, veggies, grains, etc. My meat-eating boyfriend was also very pleased, of course.",5," January 20, 2018"
903,"Food is always good here, but this trip I felt the wait staff let us down. We were often having to wait for drinks. Plus I felt our table was not in the best place for food being brought",4," January 17, 2018"
904,Friendly staff and great service,5," January 13, 2018"
905,Anniversary,4," January 6, 2018"
906,Very Good restaurant - great for a quick meal before the game! Moves quick! Lamb was the best meat. Wine options were great.,4," January 3, 2018"
907,"We celebrated a family birthday at Fogo. The meat is superb. We know to watch out for the excellent filet or sirloin and skip the cheaper cuts. The lamb lovers in our group flipped for the lambchops, which we had not had before. They were outstanding We love the popover-like rolls and the mashed potato that are delivered to the table.  The salad bar is good, but it was a frigid day and eating cold things was not as appealing as eating hot things. It's a pretty expensive meal considering nothing is cooked to order, but the novel presentation and the excellent meat keeps the carnivores coming back. It was convenient to valet the car; it was so cold that it was still on the curb when we got back. Considering it was about zero degrees, that was a nice bonus.",4," January 1, 2018"
908,We had a wonderful time.  You must like meat to eat here however.,4," January 1, 2018"
909,Fun and unique experience great to do with a group very filling!,4," January 1, 2018"
910,Great place for steak lovers! The meats just kept coming! Buffet was good would like to have had a little more variety of authentic Brazilian delicacies. Overall was a great would come back!!,4," December 31, 2017"
911,"What a wonderful meal, ambiance, and waitstaff. I have dined here several times, and each one is better and better. The food and experience are truly exceptional, but the waitstaff is what makes this restaurant spectacular. Each person was so willing to help, kind, friendly, and positive. Clearly the team works well together from management to waiters and everyone in between. I can not recommend this restaurant enough, it is a must try!",5," December 31, 2017"
912,"The salad bar (aka, 'Market Table"") is really terrific. Some of the meats are superb, but the flow of meats is slow. I presume I could have requested one or two of the premium items I know I prefer, and asked for that server to come by more regularly...perhaps next time I will know and do that. <br/><br/>We also felt the decor was underwhelming. I would have expected big round booths and an overall more upscale decor. <br/><br/>The General Manager and asst GM are both extremely nice and attentive. <br/><br/>So, I'm torn...it's not wow...but it's pretty good, especially if you optimize it for your own experience.",4," December 31, 2017"
913,The service is awesome. I think that everybody of oersonnel has to learn mire about brazil,5," December 31, 2017"
914,Great new year dinner with my family.,5," December 31, 2017"
915,"What's not to love?  Great location, excellent and friendly service and the meat?  Never had better!  Perfectly cooked for any preference be it rare, medium or well.<br/>I personally can't say enough for the lamb, but husband and son really enjoyed the beef selections and the Parmesan pork.<br/>So, thank you for helping us welcome in the New Year... we had a lovely time.",5," December 31, 2017"
916,"I would &amp; have recommended this restaurant to others. Food is excellent, very nice selection &amp; variety &amp; the service is superior!! This was my 2nd visit and will by no means be my last. I am not a big dessert eater but the creme brulee is pure heaven!",5," December 30, 2017"
917,lamb chops!,4," December 30, 2017"
918,Great experience at Fogo de Chao!,5," December 26, 2017"
919,We had an amazing experience!  The service was impeccable!  The food was unbelievable!,5," December 25, 2017"
920,It was my eighth birthday. It was a lot of fun!,4," December 25, 2017"
921,"I had dined here a few years ago and it was much better.  The place has since gone downhill.  The doors and floors were dirty.  The hostess and regular waitress were unwelcoming and seemed unhappy to be there.  The carving servers kept skipping our table which wasn't as accessible as others.  The food on the buffet was Sysco level, not gourmet.  When we ran out of rolls, the waitress never offered or brought another.  It was very expensive for such a lackluster dining experience.  We will not be going back.",2," December 25, 2017"
922,We had a marvelous Christmas dinner. The food and service were fantastic.,5," December 25, 2017"
923,Yet another stellar experience here. Christmas was stress free and enjoyable. Service and staff were impeccable. The food was delicious from beginning to end.,5," December 25, 2017"
924,This place was great and a unique experience. They did try to charge us $27 for our infant that didn’t eat anything. They quickly corrected the bill. Just something to double check.,5," December 25, 2017"
925,Its a great restaurant for brazilians feel at home,5," December 25, 2017"
926,"Really nice experience! Very good food, outstanding service.",4," December 24, 2017"
927,Good ‘salad bar’ and very nicely done meat offerings.... however the close packing of tables and constant movement of patrons and staff make for a less than tranquil repast. Go hungry!,4," December 24, 2017"
928,Great service. We definitely ate more than the value for the buffet. Stay green,5," December 21, 2017"
929,Very unique - service was great<br/>Warm and cozy environment <br/>All the guests enjoyed the experience,5," December 17, 2017"
930,Solid service and quality that you expect from this establishment.,4," December 16, 2017"
931,My friends kept telling me I had to go eat there so we decided that as our Christmas get together we would. The food wasn’t that great and the price is super high for what it is.,2," December 16, 2017"
932,"We didn't realize that it was all you can eat style, but it's pretty neat. Get salad, rice and fruit from a bar, then sit down and use a card to signal whether you want meat offered to your table. Many steak servers roam around and will slice meat onto your plate on demand. Also highly recommend the chocolate molten lava cake (separate menu, but worth).",4," December 15, 2017"
933,It was a great experience! Complimentary dessert because of our anniversary,5," December 13, 2017"
934,"If you like meat, they have plenty.  Don't fall into the trap.of loading up with salad.  The ingredientshow are excellent so pick and choose so you have room for the succulent meats.",5," December 10, 2017"
935,We have been dining at Fogo de Chao since visiting Rio de Janeiro. Food selection is excellent.  Large salad/ fruit bar to accompany the variety of skewers of meat.,5," December 9, 2017"
936,Great all atound,5," December 8, 2017"
937,Food was excellent as was the service.  The ‘Brazillian Gentlemen’ cocktail Is my new favorite.  The bill was $230 for 2 (3 cocktails each).,5," December 6, 2017"
938,"My husband and I went in for an afternoon lunch and it was a little quiet, almost like having the whole restaurant to ourselves!  The staff was very attentive and explaining the cuts of beef to us as they were coming around. Needless to say, my husband was swooning with delight over the service and the excellent lamb chops! Always worth going into Copley and going crazy looking for a parking spot! Kudos to your wonderful staff!!",5," December 5, 2017"
939,"The service  was wonderful - attentive, knowledgeable and pleasant. The market table is far, far above a salad bar with a rice and beans station and the best bacon I have ever tasted. All fresh and interesting. Serving the meat entree from skewer/swords is fun and offers a good variety with chicken, lamb, ribs and beef.  There is a fish option or market table only so all preferences are covered. The decor is restaurant 101 but that is a picky comment.",5," December 3, 2017"
940,A great way to celebrate grandpa’s birthday! Wonderful cuts of meat,5," December 3, 2017"
941,I've been to many restaurants in the Fogo chain. This is the best one. It's not just how good the food is. The spectacular service here is what sets them apart.,5," December 1, 2017"
942,Amazing food and attentive staff. A real experience!,5," November 30, 2017"
943,It looks like an attraction rather than a restaurant. Lots of large groups. <br/>We asked the waitress for an explanation of the differences in Malbecs (wine) and she told us they had different names. Duh! <br/>The meat was fatty.  The papaya from the salad bar was good but this restaurant is definitely not worth $55 per person.,3," November 28, 2017"
944,Food was great kids had a blast got a kick out of the meat servers. Our server Catherine was attentive and fun to have at the table,5," November 25, 2017"
945,"Food was good, not amazing, and plentiful. The restaurant was crowded and noisy. Our server was fine but not especially attentive. It was fun but i don’t think I’d go back.",4," November 24, 2017"
946,Expensive but excellent food. Great for meat lovers.,5," November 24, 2017"
947,"We were here on the Thanksgiving day. The food was tasty and fresh. The meat was mostly well prepared and worth the visit. We enjoyed the food and the ambiance. Ask them in advance if they have discount for kids. Otherwise, they don't care and they bring you the full price.",4," November 23, 2017"
948,What a wonderful way to spend Thanksgiving. It was a perfect afternoon.,5," November 23, 2017"
949,I wanted something out of the ordinary for some UK visitors and they loved it!,5," November 19, 2017"
950,Great service as usual,5," November 19, 2017"
951,Another great dining experience at Fogo!!!,5," November 19, 2017"
952,Very poor service. Had a long wait for drinks. Had to ask for potatoes and bananas that are usually put on table. Had to wait a long time for meats to be brought around. Al in all the service has gone way down hill from the last time we were there.,1," November 18, 2017"
953,"Well, we had reservations for 9:30. We asked for bottled sparkling water, was served the water in a broken glass. When we pointed it out, the glass was replaced but the water was not and we were never offered more water.  We felt that we were kind of rushed through dinner. We had to ask several times for the meats we wanted as we were repeatedly offered the same thing. I asked for coffees after dinner and was told that the machine was already off. Dessert was terrible. We received a check for $220. Honestly, it was awful dinner and service for such a price tag. Rushed and over priced isn’t the way to win repeat guests. If you want to close at 10, don’t accept reservations for 9:30.",1," November 14, 2017"
954,Exceptional Bralizian steaks and awesome salad bar,5," November 14, 2017"
955,"Fantastic meat. Seriously, fantastic. Best approached like you might a wine tasting: plan to try small amounts of meat, then go after full servings of the ones that really did it for you. Eat slowly, enjoy, and leaven with takings from the salad bar as palate cleansers. The cocktails are also splendid, to judge by the faces of my compatriots.",5," November 12, 2017"
956,We had the Brazilian Brunch and it was fabulous!  Great value!  The servers were extremely attentive as well.  They were on the sidelines and ready to go if we needed anything.  We will definitely return!,5," November 12, 2017"
957,Honestly my favorite place on Earth,5," November 11, 2017"
958,"The Food was absolutely delicious I would definitely recommend. My only complaint is that if it’s your first time it can be a little overwhelming, kind of wish the waiter explained how things work a little better. With all that said can’t wait to go back.",5," November 10, 2017"
959,Love Fogo.  We go monthly and always have a great meal with very friendly service.  Anna is awesome!,5," November 9, 2017"
960,Lower quality than past times.  Service was excellent,4," November 5, 2017"
961,"I've been to Fogo a few times and my husband chose this location for his birthday.  Not a big meat eater myself I chose the sea bass instead of the meat - the fish itself was covered in strawberries and mango and overly sweet and covered in citrus.  If you've had sea bass, you know it doesn't need much - salt pepper and a wedge of lemon will do wonders.  That and this time around none of our dinner party was impressed with the meat - the fan favorite was the chicken covered in bacon which is pretty sad if you ask me.  Overall think we won't be back to fogo and will instead will stick to your traditional steakhouse.",2," November 3, 2017"
962,"The meat here is to die for! The Market Table and full Churasco are outstanding. Only quip is that I didn't enjoy my lamb chop sadly. It was too well done. The side dishes, especially the cheese bread the polenta sticks are great! But don't fill up on those as there's unlimited meat circling the room. I love how quick the service is when I turn my card to green, but definitely remember to pace yourself.",5," November 3, 2017"
963,Service war bescheiden!,3," October 29, 2017"
964,"food was good , wish there was a better brunch selection- the waiter did take a very  very long time to  get my check and to return my credit card, a little disorganized as far as who was my waiter and why it took so long for the waiter (s) to come to my table  and to give me my check.",3," October 29, 2017"
965,It was my son's 21st birthday and we had a really great time and we loved the novelty idea of all you can eat prime meat along with a fantastic salad bar to accompany our dinner!,5," October 27, 2017"
966,Great restaurant. But I think I like Chima Brazilian steakhouse better. Tables were too close together and customers had trouble passing by our table. I don't like the garlic in the mashed potatoes.,4," October 25, 2017"
967,The staff was great and made the overall experience excellent!!! Thank you and keep up the outstanding work!,5," October 23, 2017"
968,"Food and drinks were pretty good.  Some meats were better than others; the picanha was outstanding while the ribeye was surprisingly tough that evening.  <br/>The service was incredible...we felt spoiled.  Everyone that we came in contact with seemed to go out of their way to be accommodating and helpful.  <br/>This was not an inexpensive meal, but the variety of offerings and the fantastic service was worth the visit.",4," October 22, 2017"
969,"We made a reservation via the OpenTable app. While we showed up a few minutes early we still checked in. It was a good thing the app sends an email almost immediately once the reservation is made. We had display the email to the front desk staff, and the manager, on two separate occasions in order to be handed a pager  which put us in line to get a seat. All this despite having made the reservation. The wait staff at the table were very helpful by comparison to the front maître d’ table.",4," October 20, 2017"
970,Service was good and food was great. I will return,4," October 20, 2017"
971,We have eaten in this place several times and this time was the best. The buffet was wonderful and the unlimited beef amazing. I dare not go too often as I always eat too much,5," October 20, 2017"
972,"This review is about the concept that Fogo De Chao have in serving their meat cuts. So they’ll keep feeding you cheep cuts to make you full then send in their house special, ribeye and finally their filet and they give u small cuts from them too. So if you want something ask for it. And enjoy",4," October 18, 2017"
973,"The meat was outstanding!   The experience was unique as you get swarmed when you want meat versus not by using a green/red indicator.   I think it is great to try once, but if you like having a large selection of foods including high quality meat, this is the place to go!  Price was expensive per person.   My experience was nice but I think once covered it for me.",4," October 16, 2017"
974,Great meat quality. Bottom Sirloin and Picanha are a must have!,5," October 16, 2017"
975,The experience and food was not worth the price,1," October 14, 2017"
